instructions,LLC-stores,L1-icache-load-misses,branch-load-misses,node-load-misses,rd_req,rd_bytes,wr_req,wr_bytes,flush_operations,rd_total_times,wr_total_times,flush_total_times,label
77556160.0,9575.0,257517.0,215949.0,0.0,0,0,8,147456,4,0,3596349,4524778,1
32981037.0,16800.0,797990.0,140417.0,2.0,0,0,0,0,0,0,0,0,1
11049222.0,5302.0,204689.0,55819.0,0.0,0,0,0,0,0,0,0,0,1
4968323.0,5252.0,188982.0,34310.0,0.0,0,0,0,0,0,0,0,0,1
15314480.0,11345.0,601098.0,112428.0,0.0,0,0,0,0,0,0,0,0,1
7059786.0,7110.0,370531.0,86466.0,2.0,0,0,0,0,0,0,0,0,1
19475025.0,8149.0,451248.0,76678.0,0.0,0,0,0,0,0,0,0,0,1
2314515.0,2788.0,273546.0,54665.0,0.0,0,0,0,0,0,0,0,0,1
42232964.0,254.0,15318.0,3813.0,0.0,0,0,0,0,0,0,0,0,1
22808845.0,386.0,22814.0,5812.0,0.0,0,0,0,0,0,0,0,0,1
125243.0,849.0,36774.0,23933.0,0.0,0,0,0,0,0,0,0,0,1
30987.0,381.0,8206.0,1234.0,0.0,0,0,2,59392,0,0,8906411,0,1
51058.0,0.0,4969.0,512.0,0.0,20,447488,0,0,0,1880752,0,0,1
28405.0,122.0,5049.0,1180.0,0.0,8,134144,0,0,0,595974,0,0,1
28412.0,0.0,7352.0,518.0,0.0,40,346624,0,0,0,3699729,0,0,1
54435.0,0.0,4378.0,568.0,0.0,94,1738240,2,8192,0,9382948,4515137,0,1
28402.0,110.0,4622.0,1175.0,0.0,75,798720,0,0,0,2897726,0,0,1
28402.0,0.0,6363.0,547.0,0.0,12,49152,0,0,0,726623,0,0,1
1315831.0,128.0,4625.0,533.0,0.0,18,709632,0,0,0,1352649,0,0,1
7574446.0,3938.0,5067.0,14830.0,0.0,55,1617920,0,0,0,4215750,0,0,1
1052752.0,2480.0,195827.0,35232.0,1.0,65,266240,0,0,0,4315603,0,0,1
173335.0,804.0,132964.0,10171.0,0.0,10,40960,0,0,0,861209,0,0,1
34023.0,7.0,12901.0,3657.0,1.0,58,1804288,2,8192,0,14836565,6417292,0,1
28411.0,0.0,17105.0,546.0,0.0,86,2214912,0,0,0,6259006,0,0,1
3722245.0,2302.0,4527.0,568.0,0.0,70,315392,0,0,0,3218034,0,0,1
20042461.0,2788.0,41440.0,36143.0,0.0,47,192512,0,0,0,2813287,0,0,1
60330279.0,0.0,181302.0,18920.0,0.0,48,196608,0,0,0,2853026,0,0,1
15060314.0,11434.0,74495.0,738.0,0.0,81,331776,0,0,0,4202365,0,0,1
29217453.0,5697.0,96010.0,9593.0,0.0,127,577536,0,0,0,5495087,0,0,1
17054376.0,12164.0,4941.0,522.0,0.0,87,496128,0,0,0,4360593,0,0,1
20145878.0,12145.0,4425.0,5083.0,2.0,95,529920,0,0,0,4833093,0,0,1
11091562.0,7293.0,188800.0,59595.0,1.0,145,945664,0,0,0,5903437,0,0,1
1045450.0,4226.0,361331.0,132212.0,1.0,68,570880,0,0,0,3920970,0,0,1
28813.0,535.0,532361.0,150851.0,0.0,101,1074688,0,0,0,5294847,0,0,1
30576.0,0.0,687308.0,114759.0,0.0,102,966144,0,0,0,5134594,0,0,1
51368.0,1.0,632831.0,91020.0,0.0,109,953344,0,0,0,5064984,0,0,1
30990.0,182.0,309150.0,17356.0,0.0,66,468992,0,0,0,4090780,0,0,1
28414.0,0.0,17437.0,529.0,0.0,87,392192,0,0,0,4022355,0,0,1
68474.0,167.0,4650.0,575.0,0.0,114,526848,0,0,0,4679413,0,0,1
7411468.0,0.0,7958.0,1294.0,0.0,105,450560,0,0,0,4470221,0,0,1
10894263.0,2516.0,4783.0,519.0,0.0,71,577536,0,0,0,3867960,0,0,1
10774504.0,7126.0,4491.0,522.0,1.0,108,442368,0,0,0,4348034,0,0,1
12684402.0,7176.0,9634.0,4263.0,0.0,108,442368,0,0,0,4717738,0,0,1
12670426.0,6186.0,6997.0,515.0,0.0,115,1024512,0,0,0,4795181,0,0,1
5179140.0,3543.0,139685.0,29193.0,0.0,52,206848,0,0,0,3305843,0,0,1
5522574.0,3794.0,214558.0,46381.0,0.0,83,377344,0,0,0,5627151,0,0,1
5008217.0,5433.0,344997.0,96092.0,0.0,110,450560,0,0,0,5357282,0,0,1
8917752.0,4237.0,480177.0,107780.0,4.0,110,450560,0,0,0,5016731,0,0,1
6193007.0,9896.0,302247.0,60099.0,0.0,63,258048,0,0,0,3149942,0,0,1
15921961.0,7364.0,290271.0,11034.0,0.0,40,163840,15,1523712,0,2213463,10547801,0,1
20562413.0,4609.0,385731.0,71350.0,4.0,29,274432,5,20480,0,39636715,38123568,0,1
15538112.0,8031.0,421251.0,117021.0,2.0,44,270336,0,0,0,3546338,0,0,1
14344036.0,7445.0,284995.0,137295.0,2.0,0,0,0,0,0,0,0,0,1
10737848.0,16108.0,270700.0,22609.0,0.0,25,102400,0,0,0,1625960,0,0,1
17565473.0,4930.0,419666.0,70989.0,0.0,105,430080,0,0,0,6774427,0,0,1
21604331.0,18802.0,557485.0,100472.0,0.0,137,561152,0,0,0,6101024,0,0,1
21085966.0,24549.0,455053.0,122179.0,9.0,176,720896,0,0,0,6838128,0,0,1
