instructions,LLC-stores,L1-icache-load-misses,branch-load-misses,node-load-misses,rd_req,rd_bytes,wr_req,wr_bytes,flush_operations,rd_total_times,wr_total_times,flush_total_times,label
21506087,8530,869836,58991,3,4,24576,44,1384448,0,462746,10921356,0,1
24040858,6262,1011148,88860,2,35,794624,12,249856,0,3324305,1241745,0,1
86719703,232,3132,200259,0,0,0,0,0,0,0,0,0,0
86837894,147,3756,212722,1,0,0,0,0,0,0,0,0,0
4881202,12856,335280,111505,7,0,0,9,139264,4,0,10810332,3328918,0
46957021,23523,508945,94872,5,11,45056,32,3305472,0,46376264,515101297,0,1
55745424,18633,232193,65086,0,12,49152,33,3273728,0,41596229,425664593,0,1
85647877,641,7771,205526,0,0,0,0,0,0,0,0,0,0
